cycle,Year,Larvae,Juveniles,Adults,Total,Mean_Fitness,SD_Fitness,Quantile_Fitness
1,-0.416667,649,1990,0,2639,0.837709,0.103792,0.811044
2,-0.333333,88,1466,351,1905,0.809865,0.0680417,0.80618
3,-0.25,445,852,525,1822,0.882643,0.0781205,0.867573
4,-0.166667,1112,569,608,2289,0.929921,0.0749785,0.948304
5,-0.0833333,1849,569,660,3078,0.945306,0.0958234,1.0
6,0.0,1931,880,639,3450,0.9249,0.101256,1.0
7,0.0833333,1173,1244,618,3035,0.870433,0.140261,0.845457
8,0.166667,426,1383,483,2292,0.821392,0.11529,0.794919
9,0.25,112,1210,401,1723,0.821279,0.0763253,0.806849
10,0.333333,22,917,383,1322,0.843792,0.0571478,0.835818
11,0.416667,0,606,467,1073,0.868715,0.0473478,0.863319
